Loan Number,Project No.,Country Name,ISO ALPHA-3 Country Code,ADB Country Code,Country Group,"Country classification, latest ","Country classification, at approval",Department,Project Name,"Modality
(AER)",Mode of financial assistance,ADF or OCR?,Source of funds,"Approved amount 
(USD mil)","Disbursed amount
(USD mil)",Approval date,Approval year,Loan signing,Loan effectivity (original),Loan effectivity (actual),Closing date (estimate),Closing date (actual),"Cofin, app
(USD mil)","Cofin, act
(USD mil)","Proj Cost, app
(USD mil)","Proj Cost, act
(USD mil)",Sector (2009),Subsector (2009),Primary Sector (PCS 2014),Primary Sector (PCS 2014)_3,Primary Subsector (PCS 2014),Secondary Sector (PCS 2014),Secondary Subsector (PCS 2014),RRP circulation date (BOD),PCR circulation date (BOD),PCR overall rating,PCR relevance,PCR effectiveness,PCR efficiency,PCR sustainability,With PVR?,PVR circulation date,PVR overall rating,PVR relevance,PVR effectiveness,PVR efficiency,PVR sustainability,"With PPER/
PPAR?",PPER circulation date (BOD),PPER overall rating,PPER relevance,PPER effectiveness,PPER efficiency,PPER sustainability,Source of latest rating,"AER reporting year
(PCR circ)",Latest overall rating,Latest relevance,Latest effectiveness,Latest efficiency,Latest sustainability
1903,35496,Uzbekistan,UZB,UZB,Central West Asia,B,C,CWRD,Western Uzbekistan Rural Water Supply Project,Project,Project loan,OCR,OCR,38,29.4,2-May-02,2002,11-May-02,9-Aug-02,9-Jun-03,31-Mar-06,9-Dec-11,0,0,65,48.2,Water and Other Municipal Infrastructure and Services,Water Supply and Sanitation,"Agriculture, natural resources and rural development",ANR,Rural water supply services,„na,„na,11-Apr-02,28-Dec-11,Successful,Highly relevant,Less than effective,Efficient,Likely sustainable,Yes,13-Dec,Successful,Relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Relevant,Less than effective,Efficient,Likely sustainable
1887,32036,Maldives,MDV,MLD,South Asia,A,A,SARD,Outer Islands Electrification (Sector) Project,Project,Project loan,ADF,ADF,8,9.48,18-Dec-01,2001,26-Apr-02,25-Jul-02,25-Jul-02,31-Dec-05,31-Dec-09,0,0,10.6,13.63,Energy,Energy Sector Development,Energy,ENE,Energy sector development and institutional reform,„na,„na,27-Nov-01,13-Dec-11,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,Yes,13-Dec,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable
1882,34276,Maldives,MDV,MLD,South Asia,A,A,SARD,Information Technology Development Project,Project,Project loan,ADF,ADF,9.5,10.32,17-Dec-01,2001,26-Apr-02,26-Jul-02,25-Jul-02,30-Jun-05,31-Dec-09,0,0,12,12.73,Transport and ICT,ICT,Information and communication technology,ICT,ICT infrastructure,„na,„na,26-Nov-01,15-Dec-11,Successful,Highly relevant,Highly effective,Efficient,Likely sustainable,Yes,13-Dec,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable
1871,34262,India,IND,IND,South Asia,B,B2,SARD,Private Sector Infrastructure Facility at State Level Project,Project,Credit line (Loan),OCR,OCR,100,50.4,11-Dec-01,2001,5-Aug-02,3-Nov-02,21-Oct-02,21-Oct-07,6-Sep-07,,,,,Multisector,Multisector,Finance,FIN,Infrastructure finance and investment funds,„na,„na,20-Nov-01,2-Jul-09,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,Yes,13-Nov,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable
1854,27182,Pakistan,PAK,PAK,Central West Asia,B,B1,CWRD,NWFP Urban Development Sector Project,Project,Sector loan,ADF,ADF,20.8,4.68,8-Nov-01,2001,21-Dec-01,21-Mar-02,23-Oct-02,30-Jun-08,19-Dec-08,,,,,Water and Other Municipal Infrastructure and Services,Urban Sector Development,Water and other urban infrastructure services,WUS,Urban flood protection,TRA,,18-Oct-01,23-Dec-10,Unsuccessful,Less than relevant,Ineffective,Inefficient,Unlikely to be sustainable,Yes,13-Sep,Unsuccessful,Less than relevant,Less than effective,Inefficient,Unlikely to be sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Unsuccessful,Less than relevant,Less than effective,Inefficient,Unlikely to be sustainable
1844,31345,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,Second Education Quality Improvement Project,Project,Project loan,ADF,ADF,20,23.49,28-Sep-01,2001,5-Dec-01,5-Mar-02,5-Mar-02,30-Jun-08,29-Dec-10,9.6,14.98,37.6,47.47,Education,Pre-primary and Basic Education,Education,EDU,Pre-primary and primary,„na,„na,7-Sep-01,17-Oct-11,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,13-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Relevant,Effective,Efficient,Likely sustainable
1788,30254,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,Decentralized Irrigation Development and Management Project,Project,Project loan,ADF,ADF,15.62,17.63,28-Nov-00,2000,16-Feb-01,17-May-01,7-May-01,30-Jun-07,5-Feb-10,,,,,Agriculture and Natural Resources,"Irrigation, Drainage and Flood Protection","Agriculture, natural resources and rural development",ANR,Irrigation,„na,„na,21-Nov-00,21-Jul-10,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,13-Dec,Successful,Relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Less than effective,Efficient,Likely sustainable
1782,32193,Bangladesh,BGD,BAN,South Asia,B,B1,SARD,Northwest Crop Diversification Project,Project,Project loan,ADF,ADF,46.3,44.22,21-Nov-00,2000,18-Dec-00,18-Mar-01,9-Aug-01,31-Dec-08,12-Jan-10,0,0,66.2,68.21,Agriculture and Natural Resources,Agricultural Production and Markets,Finance,FIN,Inclusive finance,ANR,,30-Oct-00,23-Dec-11,Successful,Highly relevant,Effective,Highly efficient,Likely sustainable,Yes,13-Nov,Successful,Relevant,Effective,Highly efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Relevant,Effective,Highly efficient,Likely sustainable
1726,30320,Kyrgyz Republic,KGZ,KGZ,Central West Asia,A,A,CWRD,Agriculture Area Development Project,Project,Project loan,ADF,ADF,36,38.83,20-Dec-99,1999,16-May-00,16-Aug-00,1-Sep-00,31-Jan-07,17-Dec-09,,,,,Agriculture and Natural Resources,Agricultural Production and Markets,"Agriculture, natural resources and rural development",ANR,Agricultural production,„na,„na,29-Nov-99,29-Jun-11,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,13-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Efficient,Likely sustainable
1668,27245,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Southern Philippines Irrigation Sector Project,Project,Sector loan,OCR,OCR,60,50.01,18-Dec-98,1998,1-Mar-99,30-May-99,29-Oct-99,30-Jun-06,30-Jun-11,0,0,102,80.94,Agriculture and Natural Resources,"Irrigation, Drainage and Flood Protection","Agriculture, natural resources and rural development",ANR,Rural market infrastructure,„na,„na,27-Nov-98,10-Nov-11,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,Yes,13-Dec,Less than successful,Less than relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Less than successful,Less than relevant,Less than effective,Less than efficient,Less than likely sustainable
1647,29120,India,IND,IND,South Asia,B,B2,SARD,Rajasthan Urban Infrastructure Development Project,Project,Project loan,OCR,OCR,250,250,3-Dec-98,1998,1-Dec-99,29-Feb-00,18-Jan-00,30-Jun-05,11-Jun-09,0,0,362,445.95,Water and Other Municipal Infrastructure and Services,Urban Sector Development,Water and other urban infrastructure services,WUS,Urban water supply,„na,„na,12-Nov-98,22-Dec-11,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,13-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Relevant,Effective,Efficient,Likely sustainable
1810,34007,Indonesia,IDN,INO,Southeast Asia,C,B2,SERD,Decentralized Health Services Project,Project,Project loan,ADF,ADF,65,59.31,14-Dec-00,2000,27-Mar-01,25-Jun-01,25-Jun-01,30-Sep-06,30-Jun-09,,,,,Health and Social Protection,Health Systems,Health,HLT,Health sector development and reform,„na,,23-Nov-00,21-Jan-10,Successful,Relevant,Effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,Yes,1-Dec-13,Successful,Relevant,Effective,Less than efficient,Likely to be sustainable,PPER,2010,Successful,Relevant,Effective,Less than efficient,Likely to be sustainable
G0002,39127,Indonesia,IDN,INO,Southeast Asia,C,B2,SERD,Earthquake and Tsunami Emergency Support Project,Project,Project grant,ADF,ADF,290,290.84,7-Apr-05,2005,29-Apr-05,27-Jul-05,21-Jun-05,30-Dec-08,30-Dec-10,,,,,Multisector,Multisector,Water and other urban infrastructure services,WUS,Urban housing,ANR,,31-Mar-05,18-Apr-11,Successful,Highly relevant,Highly effective,Efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Efficient,Likely sustainable
2531/2532,42529,Georgia,GEO,GEO,Central West Asia,B,B,CWRD,Growth Recovery Support Program,Program,Program loan,ADF,ADF,80,79.84,6-Jul-09,2009,6-Jul-09,4-Oct-09,16-Jul-09,ector,24-Sep-09,0,0,50,49.9,Multisector,Multisector,Public sector management,PSM,Social Protection Initiatives,„na,„na,15-Jun-09,28-Dec-10,Successful,Highly relevant,Effective,Highly efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,21-Dec-17,Successful,Relevant,Effective,Efficient,Likely sustainable,PPER,2011,Successful,Relevant,Effective,Efficient,Likely sustainable
2529/2530,43087,Armenia,ARM,ARM,Central West Asia,B,B,CWRD,Crisis Recovery Support Program,Program,Program loan,ADF,ADF,80,81.4,6-Jul-09,2009,15-Jul-09,13-Oct-09,8-Oct-09,31-Dec-09,15-Oct-09,,,,,Multisector,Multisector,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,15-Jun-09,28-Dec-10,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Efficient,Likely sustainable
2305/2394,40058/40272,Indonesia,IDN,INO,Southeast Asia,C,B2,SERD,SECOND DEVT POLICY SUPPORT PROGRAM CLUSTER-SUBPROGRAM I and THIRD DEVELOPMENT POLICY SUPPORT PROGRAM,Program,Program loan,OCR,OCR,400,400,20-Dec-06,2006,21-Dec-06,21-Mar-07,21-Dec-06,30-Jun-07,21-Dec-06,,,,,Public Sector Management,Economic and Public Affairs Management,Public sector management,PSM,Economic affairs management,„na,„na,29-Nov-06,6-Oct-09,Highly successful,Highly relevant,Not rated,Efficient,Most likely sustainable,Yes,12-Dec,Successful,Highly relevant,Effective,Efficient,Most likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Successful,Highly relevant,Effective,Efficient,Most likely sustainable
2160/G0001,39099,Maldives,MDV,MLD,South Asia,A,A,SARD,Tsunami Emergency Assistance Project ,Project,Sector loan,ADF,ADF,1.82,1.79,31-Mar-05,2005,21-Apr-05,20-Jul-05,23-May-05,30-Sep-07,31-Aug-08,,,,,Multisector,Multisector,Public sector management,PSM,Social Protection Initiatives,ANR,,23-Mar-05,21-Dec-09,Successful,Relevant,Not rated,Not rated,Not rated,Yes,12-Dec,Less than successful,Less than relevant,Less than effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Less than successful,Less than relevant,Less than effective,Efficient,Less than likely sustainable
2095/2284,34344/38335,Viet Nam,VNM,VIE,Southeast Asia,B,B1,SERD,Small and Medium Sized Enterprise Development Program (Subprogr I),Program,Program loan,ADF,ADF,80,81.77,21-Oct-04,2004,9-Nov-04,7-Feb-05,6-Apr-05,30-Nov-06,11-Dec-06,,,,,Industry and Trade,Small and Medium Enterprise Development,Industry and trade,IND,Small and medium enterprise development,„na,„na,30-Sep-04,21-Dec-09,Successful,Highly relevant,Effective,Less than efficient,Most likely sustainable,Yes,12-Dec,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable
1932/2118,30295,Viet Nam,VNM,VIE,Southeast Asia,B,B1,SERD,Financial Sector Program Loan II-Subprogram 1,Program,Program loan,ADF,ADF,85,91.86,20-Nov-02,2002,29-Jan-03,29-Apr-03,23-May-03,31-Mar-04,8-Dec-04,,,,,Finance,Finance Sector Development,Finance,FIN,Finance sector development,„na,„na,30-Oct-02,4-Aug-10,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,12-Nov,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Efficient,Likely sustainable
1883 / G3800,33301,Viet Nam,VNM,VIE,Southeast Asia,B,B1,SERD,Central Region Livelihood Improvement Project,Project,Project loan,ADF,ADF,59.54,67.5,17-Dec-01,2001,2-Apr-02,1-Jul-02,15-Sep-02,30-Sep-07,28-Apr-10,,,,,Agriculture and Natural Resources,Agriculture and Rural Sector Development,"Agriculture, natural resources and rural development",ANR,Livestock,„na,„na,26-Nov-01,9-Jul-10,Successful,Relevant,Highly effective,Efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Efficient,Less than likely sustainable
1873/1874,33314,"Micronesia, Federated States of",FSM,FSM,Pacific,B,B1,PARD,Private Sector Development Program,Program/Project,SDP - Program loan,ADF,ADF,13.02,10.2,12-Dec-01,2001,24-Jan-02,24-Apr-02,24-Apr-03,31-Aug-06,31-Mar-09,,,,,Public Sector Management,Economic and Public Affairs Management,Public sector management,PSM,Economic affairs management,„na,„na,21-Nov-01,21-Dec-10,Successful,Relevant,Effective,Less than efficient,Likely sustainable,Yes,12-Nov,Less than successful,Less than relevant,Effective,Less than efficient,Likely sustainable,Yes,1-Dec-14,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,PPER,2011,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable
1836/1837,33335,Mongolia,MNG,MON,East Asia,B,A,EARD,Social Security Sector Development Program,Program/Project,SDP - Program loan,ADF,ADF,12,4.34,28-Aug-01,2001,8-Nov-01,6-Feb-02,21-Feb-02,30-Apr-07,9-Oct-09,,,,,Health and Social Protection,Social Protection,Public sector management,PSM,Social protection initiatives,„na,„na,7-Aug-01,29-Dec-10,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,12-Nov,Successful,Relevant,Effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Less than efficient,Likely sustainable
1750/1751,23229,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,TECHNICAL EDUCATION & SKILLS DEVELOPMENT PROJECT (TESDP),Project,Project loan,OCR,OCR/OCR,45,44.09,24-Aug-00,2000,16-Nov-00,14-Feb-01,9-Jan-01,31-Dec-06,30-Jun-09,,,,,Education,Technical Education and Vocational Skills Training,Education,EDU,Technical and vocational education and training,„na,„na,3-Aug-00,27-Nov-09,Successful,Highly relevant,Effective,Less than efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Successful,Relevant,Effective,Less than efficient,Likely sustainable
1745/1746,30308,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Pasig River Environmental Mgmt & Rehab Sector Development Program,Program/Project,SDP - Program loan,OCR,OCR,175,163,20-Jul-00,2000,21-Jul-00,19-Oct-00,17-Aug-00,31-Jan-06,5-Mar-09,,,,,Water and Other Municipal Infrastructure and Services,Waste Management and Sewage,Water and other urban infrastructure services,WUS,Renovation and protection of cultural heritage,„na,„na,23-Mar-00,22-Dec-10,Unsuccessful,Less than relevant,Ineffective,Inefficient,Less than likely sustainable,Yes,12-Nov,Unsuccessful,Less than relevant,Ineffective,Inefficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Unsuccessful,Less than relevant,Ineffective,Inefficient,Less than likely sustainable
2543,43330,Kazakhstan,KAZ,KAZ,Central West Asia,C,C,CWRD,Countecyclical Support Loan,Program,Program loan,OCR,OCR,500,500,10-Sep-09,2009,14-Sep-09,13-Dec-09,11-Nov-09,31-Dec-10,14-Dec-09,,,,,Public Sector Management,Economic and Public Affairs Management,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,3-Sep-09,29-Dec-10,Highly successful,Highly relevant,Effective,Highly efficient,Most likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Most likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Efficient,Most likely sustainable
2282,37752,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Power Sector Development Program,Program,Program loan,OCR,OCR,450,450,8-Dec-06,2006,11-Dec-06,11-Mar-07,19-Dec-06,30-Jun-09,30-Jun-09,,,,,Energy,Energy Sector Development,Energy,ENE,Energy sector development and institutional reform,„na,„na,17-Nov-06,19-Aug-10,Successful,Highly relevant,Less than effective,Less than efficient,Likely sustainable,Yes,12-Dec,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable
2222,33307,Viet Nam,VNM,VIE,Southeast Asia,B,B1,SERD,GMS Kunming-Haiphong Transport Corridor Project-Noi Bai-Lao Cai Highway Technical Assistance Project,Project,Project loan,ADF,ADF,6,6.21,19-Dec-05,2005,19-Jan-06,19-Apr-06,3-Oct-06,30-Sep-08,12-May-10,,,,,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,„na,28-Nov-05,2-Dec-10,Successful,Relevant,Not rated,Not rated,Not rated,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Efficient,Likely sustainable
2221,39597,Indonesia,IDN,INO,Southeast Asia,C,B2,SERD,Rural Infrastructure Support project,Project,Project loan,ADF,ADF,50,51.1,19-Dec-05,2005,29-Mar-06,27-Jun-06,20-Jun-06,31-Mar-09,11-Aug-09,,,,,Multisector,Multisector,"Agriculture, natural resources and rural development",ANR,Rural flood protection,„na,„na,28-Nov-05,14-Jan-10,Successful,Highly relevant,Effective,Efficient,Most likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Successful,Relevant,Effective,Efficient,Likely sustainable
2140,37075,Afghanistan,AFG,AFG,Central West Asia,A,A,CWRD,Andkhoy-Qaisar Road Project,Project,Project loan,ADF,ADF,80,74.63,15-Dec-04,2004,7-Apr-05,6-Jul-05,8-Jul-05,30-Jun-14,30-Jun-14,,,,,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,„na,25-Nov-04,8-Dec-10,Successful,Highly relevant,Effective,Highly efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2127,35144-013,Indonesia,IDN,INO,Southeast Asia,C,B2,SERD,State Audit Reform Sector Development Program,Project,Project loan,ADF,ADF,25,22.17,13-Dec-04,2004,16-Dec-04,16-Mar-05,17-Dec-04,30-Jun-10,31-Dec-10,5,4.45,42.73,31.17,Public Sector Management,Public Expenditure and Fiscal Management,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,22-Nov-04,25-Oct-11,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Relevant,Effective,Efficient,Likely sustainable
2126,35144-01,Indonesia,IDN,INO,Southeast Asia,C,B2,SERD,Support to State Audit Reform Program Loan,Program,Program loan,OCR,OCR,200,100,13-Dec-04,2004,16-Dec-04,16-Mar-05,17-Dec-04,31-Dec-07,28-Dec-07,,,,,Public Sector Management,Public Expenditure and Fiscal Management,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,22-Nov-04,31-Mar-10,Less than successful,Less than relevant,Less than effective,Less than efficient,Likely sustainable,Yes,12-Nov,Less than successful,Less than relevant,Less than effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Less than successful,Less than relevant,Less than effective,Less than efficient,Likely sustainable
2105,37136,Afghanistan,AFG,AFG,Central West Asia,A,A,CWRD,Regional Airports Rehabilitation Project Phase I,Project,Project loan,ADF,ADF,30,29.1,23-Nov-04,2004,7-Apr-05,2-Jul-05,8-Jul-05,31-Dec-14,18-Dec-14,2,2,32.1,35.3,Transport and ICT,Air Transport,Transport,TRA,Air transport,„na,„na,2-Nov-04,28-Dec-11,Successful,Relevant,Effective,Less than efficient,Likely sustainable,Yes,12-Dec,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable
2097,37027,Nepal,NPL,NEP,South Asia,A,A,SARD,Subregional Transport Facilitation Project,Project,Project loan,ADF,ADF,19.6,17.54,4-Nov-04,2004,19-Jan-05,19-Apr-05,10-May-05,1-Jul-10,21-Sep-10,0,0,26.7,19.5,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,„na,14-Oct-04,22-Dec-11,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Relevant,Effective,Efficient,Likely sustainable
2094,35337,"China, People's Republic of",CHN,PRC,East Asia,C,B2,EARD,Guangxi Roads Development II Project,Project,Project loan,OCR,OCR,200,200,21-Oct-04,2004,19-Jan-05,19-Apr-05,11-Apr-05,31-Dec-08,31-Dec-09,0,0,726,809.4,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,„na,16-Sep-04,13-Dec-11,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Relevant,Effective,Efficient,Likely sustainable
2093,36510,Uzbekistan,UZB,UZB,Central West Asia,B,C,CWRD,Second Textbook Development Project,Project,Project loan,OCR,OCR,25,18.36,4-Sep-04,2004,2-Nov-04,31-Jan-05,1-Dec-04,30-Jan-10,9-Aug-10,,,,,Education,Pre-Primary and Basic Education,Education,EDU,Pre-primary and primary,„na,„na,8-Sep-04,29-Dec-10,Successful,Highly relevant,Effective,Efficient,Most likely sustainable,Yes,12-Jan,Successful,Highly relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Highly relevant,Effective,Efficient,Likely sustainable
2063,32499,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Development of Poor Urban Communities Sector Project,Project,Sector loan,OCR,OCR,30.5,17.79,18-Dec-03,2003,22-Dec-03,21-Mar-04,21-Apr-04,20-Apr-10,20-Apr-10,,,,,Water and Other Municipal Infrastructure and Services,Urban Sector Development,Water and other urban infrastructure services,WUS,"Urban policy, institutional and capacity development",„na,„na,27-Nov-03,11-May-11,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,Yes,12-Nov,Successful,Relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Less than effective,Efficient,Likely sustainable
2054,33036,Tajikistan,TJK,TAJ,Central West Asia,A,A,CWRD,Health Sector Reform Project,Project,Project loan,ADF,ADF,7.5,7.72,17-Dec-03,2003,15-Apr-04,14-Jul-04,15-Jul-04,30-Jun-09,23-Nov-09,,,,,Health and Social Protection,Health Systems,Health,HLT,Health sector development and reform,„na,„na,26-Nov-03,23-Dec-10,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,12-Nov,Successful,Highly relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Highly relevant,Effective,Efficient,Likely sustainable
2024,33459,"China, People's Republic of",CHN,PRC,East Asia,C,B2,EARD,Xi'an Urban Transport Project,Project,Project loan,OCR,OCR,270,264.15,27-Nov-03,2003,27-Apr-04,26-Jul-04,8-Dec-04,30-Jun-08,5-Aug-10,0,0,762,"1,333.00",Transport and ICT,Urban Transport,Transport,TRA,Urban roads and traffic management,„na,„na,6-Nov-03,1-Feb-12,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Relevant,Effective,Efficient,Likely sustainable
2005,31341,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,Northern Area Rural Power Distribution Project,Project,Project loan,ADF,ADF,30,31.57,18-Sep-03,2003,9-Dec-03,8-Mar-04,8-Mar-04,30-Sep-08,23-Jun-10,,,,,Energy,Electricity Transmission and Distribution,Energy,ENE,Electricity transmission and distribution,„na,„na,28-Aug-03,30-Jun-11,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2011,Successful,Relevant,Effective,Efficient,Likely sustainable
1997,36673,Afghanistan,AFG,AFG,Central West Asia,A,A,CWRD,EMERGENCY INFRASTRUCTURE REHABILITATION & RECONSTRUCTION PROJECT,Project,Project loan,ADF,ADF,150,141.15,3-Jun-03,2003,1-Aug-03,30-Oct-03,31-Oct-03,30-Jun-13,1-Jul-13,,,,,Multisector,Multisector,Transport,TRA,Road transport (non-urban),ENE,,13-May-03,12-Oct-09,Successful,Relevant,Less than effective,Not rated,Not rated,Yes,12-Dec,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Successful,Relevant,Effective,Efficient,Less than likely sustainable
1989,34321,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,GMS: Northern Economic Corridor Project,Project,Project loan,ADF,ADF,30,34.1,20-Dec-02,2002,7-Feb-03,8-May-03,9-Feb-04,30-Jun-07,30-Jun-09,,,,,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,„na,28-Nov-02,28-Dec-10,Successful,Highly relevant,Effective,Less than efficient,Less than likely sustainable,Yes,12-Dec,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable,Yes,1-Dec-14,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable,PPER,2011,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable
